,title,Tokens,listed_in,country,type,rating
0,Sankofa,"['photo', 'shoot', 'ghana', 'american', 'model', 'slip', 'back', 'time', 'becomes', 'enslaved', 'plantation', 'bear', 'witness', 'agony', 'ancestral', 'past']",Dramas,"United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia",Movie,TV-MA
3,The Great British Baking Show,"['talented', 'batch', 'amateur', 'baker', 'face', 'competition', 'whipping', 'best', 'dish', 'hope', 'named', 'best']",British,United Kingdom,TV Show,TV-14
4,The Great British Baking Show,"['talented', 'batch', 'amateur', 'baker', 'face', 'competition', 'whipping', 'best', 'dish', 'hope', 'named', 'best']",Reality,United Kingdom,TV Show,TV-14
5,The Starling,"['woman', 'adjusting', 'life', 'loss', 'contends', 'feisty', 'bird', 'taken', 'garden', 'husband', 'struggling', 'way', 'forward']",Comedies,United States,Movie,PG-13
6,The Starling,"['woman', 'adjusting', 'life', 'loss', 'contends', 'feisty', 'bird', 'taken', 'garden', 'husband', 'struggling', 'way', 'forward']",Dramas,United States,Movie,PG-13
7,Je Suis Karl,"['family', 'murdered', 'terrorist', 'bombing', 'young', 'woman', 'unknowingly', 'lured', 'joining', 'group', 'killed']",Dramas,"Germany, Czech Republic",Movie,TV-MA
9,Jeans,"['father', 'man', 'love', 'insists', 'twin', 'son', 'marry', 'twin', 'sister', 'woman', 'creates', 'alter', 'ego', 'bit', 'convincing']",Comedies,India,Movie,TV-14
11,Jeans,"['father', 'man', 'love', 'insists', 'twin', 'son', 'marry', 'twin', 'sister', 'woman', 'creates', 'alter', 'ego', 'bit', 'convincing']",Romantics,India,Movie,TV-14
12,Grown Ups,"['mourning', 'loss', 'beloved', 'junior', 'high', 'basketball', 'coach', 'pal', 'reunite', 'lake', 'house', 'rediscover', 'joy', 'kid']",Comedies,United States,Movie,PG-13
13,Dark Skies,"['family', 'idyllic', 'suburban', 'life', 'shatters', 'alien', 'force', 'invades', 'home', 'struggle', 'convince', 'others', 'deadly', 'threat']",Horror,United States,Movie,PG-13
14,Dark Skies,"['family', 'idyllic', 'suburban', 'life', 'shatters', 'alien', 'force', 'invades', 'home', 'struggle', 'convince', 'others', 'deadly', 'threat']",Fantasy,United States,Movie,PG-13
15,Paranoia,"['blackmailed', 'company', 'ceo', 'employee', 'forced', 'spy', 'bos', 'rival', 'former', 'mentor']",Thrillers,"United States, India, France",Movie,PG-13
16,Birth of the Dragon,"['young', 'bruce', 'lee', 'anger', 'kung', 'fu', 'traditionalist', 'teaching', 'outsider', 'leading', 'showdown', 'shaolin', 'master', 'film', 'based', 'real', 'event']",Action,"China, Canada, United States",Movie,PG-13
17,Birth of the Dragon,"['young', 'bruce', 'lee', 'anger', 'kung', 'fu', 'traditionalist', 'teaching', 'outsider', 'leading', 'showdown', 'shaolin', 'master', 'film', 'based', 'real', 'event']",Dramas,"China, Canada, United States",Movie,PG-13
18,Jaws,"['insatiable', 'great', 'white', 'shark', 'terrorizes', 'amity', 'island', 'police', 'chief', 'oceanographer', 'grizzled', 'shark', 'hunter', 'seek', 'destroy', 'beast']",Action,United States,Movie,PG
19,Jaws,"['insatiable', 'great', 'white', 'shark', 'terrorizes', 'amity', 'island', 'police', 'chief', 'oceanographer', 'grizzled', 'shark', 'hunter', 'seek', 'destroy', 'beast']",Classic,United States,Movie,PG
20,Jaws,"['insatiable', 'great', 'white', 'shark', 'terrorizes', 'amity', 'island', 'police', 'chief', 'oceanographer', 'grizzled', 'shark', 'hunter', 'seek', 'destroy', 'beast']",Dramas,United States,Movie,PG
21,Jaws 2,"['year', 'last', 'deadly', 'shark', 'attack', 'police', 'chief', 'martin', 'brody', 'fight', 'protect', 'amity', 'island', 'another', 'killer', 'great', 'white']",Dramas,United States,Movie,PG
22,Jaws 2,"['year', 'last', 'deadly', 'shark', 'attack', 'police', 'chief', 'martin', 'brody', 'fight', 'protect', 'amity', 'island', 'another', 'killer', 'great', 'white']",Horror,United States,Movie,PG
23,Jaws 2,"['year', 'last', 'deadly', 'shark', 'attack', 'police', 'chief', 'martin', 'brody', 'fight', 'protect', 'amity', 'island', 'another', 'killer', 'great', 'white']",Thrillers,United States,Movie,PG
24,Jaws 3,"['staff', 'marine', 'theme', 'park', 'try', 'capture', 'young', 'great', 'white', 'shark', 'discover', 'mother', 'invaded', 'enclosure', 'blood']",Action,United States,Movie,PG
